experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp14_pd_v2,ballspeed7__kd15.0__kp300__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 15.0, ""--kp"": 300, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",1,False,miss,0.714701,1.774243,0.120347,0.0,0.0,1.8,0.8,1.8,0.0,0.714701,0.0,0.74,
exp14_pd_v2,ballspeed7__kd150.0__kp1000__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 150.0, ""--kp"": 1000, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",50,True,passive,0.027671,1.8,0.027671,0.0,0.0,0.45,0.13,0.4,35.0,0.027671,0.09,0.74,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",1,False,miss,0.589006,1.646424,0.114093,0.0,0.0,1.8,0.97,2.4,0.0,0.589006,0.0,0.75,
exp14_pd_v2,ballspeed7__kd15.0__kp300__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 15.0, ""--kp"": 300, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",1,False,miss,0.714701,1.774243,0.120347,0.0,0.0,1.8,0.8,1.8,0.0,0.714701,0.0,0.77,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",1,False,miss,0.589006,1.646424,0.114093,0.0,0.0,1.8,0.97,2.4,0.0,0.589006,0.0,0.77,
exp14_pd_v2,ballspeed7__kd150.0__kp1000__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 150.0, ""--kp"": 1000, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",50,True,passive,0.027671,1.8,0.027671,0.0,0.0,0.45,0.13,0.4,35.0,0.027671,0.09,0.77,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",8,False,miss,0.043355,1.817894,1.493032,0.0,0.0,0.8,0.92,0.6,0.0,0.043355,0.0,0.83,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",9,True,active,0.038914,1.442911,0.038914,20.0,25.0,1.8,1.0,1.5,20.0,0.038914,0.957,0.94,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",7,True,active,0.120242,1.756066,0.094305,0.0,0.0,1.8,1.0,1.8,35.0,0.120242,1.782,1.01,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",14,True,active,0.055738,1.855845,0.053587,0.0,0.0,1.81,1.0,2.1,25.0,0.055738,1.794,1.03,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",12,False,miss,0.604512,1.644918,0.155763,0.0,0.0,1.79,1.0,2.2,0.0,0.604512,0.0,1.07,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",17,True,active,0.089667,1.62357,0.01892,0.0,0.0,1.55,1.0,1.3,20.0,0.089667,0.993,1.07,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",5,False,miss,0.571972,1.595748,0.120451,0.0,0.0,1.8,1.0,2.0,0.0,0.571972,0.0,1.08,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",16,True,active,0.088517,1.504925,0.088517,0.0,0.0,1.79,0.99,2.4,50.0,0.088517,1.698,1.09,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.26,no_result
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.27,no_result
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",4,True,active,0.056732,1.805741,0.056732,0.0,0.0,1.8,0.99,1.4,35.0,0.056732,1.725,1.4,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",6,True,active,0.052359,1.601874,0.052359,0.0,0.0,1.79,1.0,1.7,20.0,0.052359,1.695,1.48,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",27,,,,,,,,,,,,,,0.22,no_result
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",10,True,active,0.03924,1.668898,0.03924,0.0,0.0,1.79,1.0,2.2,35.0,0.03924,1.624,1.82,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",2,True,active,0.054319,1.508438,0.052742,0.0,0.0,1.79,0.99,1.4,25.0,0.054319,1.785,1.83,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",11,False,miss,0.469433,1.597418,0.097485,0.0,0.0,1.77,1.0,2.2,0.0,0.469433,0.0,1.86,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",13,True,active,0.056463,1.597594,0.044644,0.0,0.0,1.81,1.0,1.2,35.0,0.056463,1.796,1.87,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",18,False,miss,0.411807,1.592703,0.137477,0.0,0.0,1.75,0.95,1.8,0.0,0.411807,0.0,1.06,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",3,True,active,0.105554,1.675483,0.089265,25.0,95.0,1.81,0.96,2.0,40.0,0.105554,1.712,1.94,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",23,True,active,0.053023,1.119682,0.053023,0.0,0.0,1.75,0.97,1.6,20.0,0.053023,1.75,0.91,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",15,False,miss,0.399016,1.616769,0.144314,0.0,0.0,1.79,1.0,1.5,0.0,0.399016,0.0,2.03,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",19,False,miss,0.561923,1.64701,0.210316,0.0,0.0,1.8,0.98,1.6,0.0,0.561923,0.0,1.11,
exp14_pd_v2,ballspeed7__kd2.5__kp50__noplot__positionmode__servebox,"{""--ball-speed"": 7, ""--kd"": 2.5, ""--kp"": 50, ""--no-plot"": null, ""--position-mode"": null, ""--serve-box"": null}",25,False,miss,0.573497,1.816316,0.113838,0.0,0.0,1.8,1.0,2.3,0.0,0.573497,0.0,0.98,
