experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp15_speed_v2,ballspeed15__noplot__servebox,"{""--ball-speed"": 15, ""--no-plot"": null, ""--serve-box"": null}",200,True,active,0.118791,1.852472,0.113927,25.0,100.0,1.8,0.99,2.2,15.0,0.118791,1.648,1.26,
exp15_speed_v2,ballspeed11__noplot__servebox,"{""--ball-speed"": 11, ""--no-plot"": null, ""--serve-box"": null}",101,True,active,0.137711,1.899752,0.122951,40.0,100.0,1.78,1.0,1.9,15.0,0.137711,1.704,1.28,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.35,
exp15_speed_v2,ballspeed15__noplot__servebox,"{""--ball-speed"": 15, ""--no-plot"": null, ""--serve-box"": null}",200,True,active,0.118791,1.852472,0.113927,25.0,100.0,1.8,0.99,2.2,15.0,0.118791,1.648,1.23,
exp15_speed_v2,ballspeed11__noplot__servebox,"{""--ball-speed"": 11, ""--no-plot"": null, ""--serve-box"": null}",101,True,active,0.137711,1.899752,0.122951,40.0,100.0,1.78,1.0,1.9,15.0,0.137711,1.704,1.27,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.34,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",8,False,miss,0.358096,1.944892,0.172004,0.0,0.0,1.37,1.0,1.6,0.0,0.358096,0.0,1.51,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",16,True,active,0.101702,1.982196,0.073246,50.0,75.0,1.8,0.99,1.7,30.0,0.101702,1.362,1.52,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",11,True,active,0.118389,1.995488,0.110457,0.0,0.0,1.81,1.0,1.9,30.0,0.118389,1.364,1.54,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",5,True,active,0.12829,1.964744,0.12829,0.0,20.0,1.77,0.98,1.8,30.0,0.12829,1.646,1.57,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",14,True,active,0.047737,2.010868,0.047737,50.0,105.0,1.59,1.0,1.4,15.0,0.047737,1.469,1.58,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",6,True,active,0.06403,1.918489,0.059018,60.0,105.0,1.5,0.99,1.8,20.0,0.06403,1.348,1.63,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.22,no_result
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",13,True,active,0.122735,1.981994,0.113439,30.0,80.0,1.8,0.99,1.7,30.0,0.122735,1.726,1.78,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.22,no_result
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",3,True,active,0.109543,1.992778,0.095492,50.0,105.0,1.81,0.99,1.9,35.0,0.109543,1.465,1.8,
exp15_speed_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",27,,,,,,,,,,,,,,0.21,no_result
