experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp16_limits_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",200,True,active,0.099676,1.98921,0.090527,40.0,100.0,1.8,0.98,1.6,30.0,0.099676,1.704,1.33,
exp16_limits_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.37,
exp16_limits_v2,ballspeed7__limitsconfigconfigs_real_robot.yaml__noplot__servebox,"{""--ball-speed"": 7, ""--limits-config"": ""configs/real_robot.yaml"", ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.135436,1.91546,0.109373,50.0,60.0,1.0,0.99,1.1,20.0,0.135436,0.971,1.38,
exp16_limits_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",200,True,active,0.099676,1.98921,0.090527,40.0,100.0,1.8,0.98,1.6,30.0,0.099676,1.704,1.33,
exp16_limits_v2,ballspeed7__noplot__servebox,"{""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.38,
exp16_limits_v2,ballspeed7__limitsconfigconfigs_real_robot.yaml__noplot__servebox,"{""--ball-speed"": 7, ""--limits-config"": ""configs/real_robot.yaml"", ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.135436,1.91546,0.109373,50.0,60.0,1.0,0.99,1.1,20.0,0.135436,0.971,1.38,
exp16_limits_v2,ballspeed7__limitsconfigconfigs_real_robot.yaml__noplot__servebox,"{""--ball-speed"": 7, ""--limits-config"": ""configs/real_robot.yaml"", ""--no-plot"": null, ""--serve-box"": null}",13,False,miss,0.335443,1.964932,0.138238,0.0,0.0,1.0,0.99,1.2,0.0,0.335443,0.0,1.67,
exp16_limits_v2,ballspeed7__limitsconfigconfigs_real_robot.yaml__noplot__servebox,"{""--ball-speed"": 7, ""--limits-config"": ""configs/real_robot.yaml"", ""--no-plot"": null, ""--serve-box"": null}",4,False,miss,0.39942,1.94829,0.125865,0.0,0.0,1.0,0.98,1.4,0.0,0.39942,0.0,1.71,
exp16_limits_v2,ballspeed7__limitsconfigconfigs_real_robot.yaml__noplot__servebox,"{""--ball-speed"": 7, ""--limits-config"": ""configs/real_robot.yaml"", ""--no-plot"": null, ""--serve-box"": null}",14,False,miss,0.443552,1.954471,0.176297,15.0,0.0,1.0,0.99,1.4,0.0,0.443552,0.0,1.78,
exp16_limits_v2,ballspeed7__limitsconfigconfigs_real_robot.yaml__noplot__servebox,"{""--ball-speed"": 7, ""--limits-config"": ""configs/real_robot.yaml"", ""--no-plot"": null, ""--serve-box"": null}",9,True,active,0.111791,1.950278,0.111541,45.0,105.0,1.0,1.0,1.5,15.0,0.111791,0.519,1.78,
