experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17a_noise,ablationnone__ballspeed12__noplot__obsnoisepos0.05__obsnoisevel0.5__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 12, ""--no-plot"": null, ""--obs-noise-pos"": 0.05, ""--obs-noise-vel"": 0.5, ""--obs-use-kf"": null, ""--serve-box"": null}",100,,,,,,,,,,,,,,0.18,no_result
exp17a_noise,ablationnone__ballspeed7__noplot__obsnoisepos0.01__obsnoisevel0.1__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-plot"": null, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--obs-use-kf"": null, ""--serve-box"": null}",1,,,,,,,,,,,,,,0.19,no_result
exp17a_noise,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.32,
exp17a_noise,ablationnone__ballspeed12__noplot__obsnoisepos0.05__obsnoisevel0.5__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 12, ""--no-plot"": null, ""--obs-noise-pos"": 0.05, ""--obs-noise-vel"": 0.5, ""--obs-use-kf"": null, ""--serve-box"": null}",100,,,,,,,,,,,,,,0.21,no_result
exp17a_noise,ablationnone__ballspeed7__noplot__obsnoisepos0.01__obsnoisevel0.1__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-plot"": null, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--obs-use-kf"": null, ""--serve-box"": null}",1,False,miss,0.126048,1.978553,7.156831,0.0,0.0,0.78,0.2,0.6,0.0,0.126048,0.0,1.19,
exp17a_noise,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.38,
exp17a_noise,ablationnone__ballspeed12__noplot__obsnoisepos0.05__obsnoisevel0.5__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 12, ""--no-plot"": null, ""--obs-noise-pos"": 0.05, ""--obs-noise-vel"": 0.5, ""--obs-use-kf"": null, ""--serve-box"": null}",100,False,miss,1.292771,1.864206,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.292771,0.0,0.22,
exp17a_noise,ablationnone__ballspeed7__noplot__obsnoisepos0.01__obsnoisevel0.1__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-plot"": null, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--obs-use-kf"": null, ""--serve-box"": null}",1,False,miss,0.126048,1.978552,7.156833,0.0,0.0,0.78,0.2,0.6,0.0,0.126048,0.0,1.23,
exp17a_noise,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.37,
exp17a_noise,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",12,True,active,0.089631,1.970173,0.089631,40.0,95.0,1.79,0.98,1.9,35.0,0.089631,1.444,1.56,
