experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17b_perturb,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__spaceperturbm0.1__spaceperturbminm0.0__timeperturbminms0__timeperturbms25,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--time-perturb-min-ms"": 0, ""--time-perturb-ms"": 25}",1,True,active,0.046868,1.978882,0.02701,45.0,105.0,1.81,0.99,1.8,25.0,0.046868,1.76,1.35,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.06683,1.96945,0.06683,40.0,105.0,1.81,1.0,1.4,15.0,0.06683,1.633,1.35,
exp17b_perturb,ablationnone__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__spaceperturbm0.2__spaceperturbminm0.0__timeperturbminms0__timeperturbms100,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--space-perturb-m"": 0.2, ""--space-perturb-min-m"": 0.0, ""--time-perturb-min-ms"": 0, ""--time-perturb-ms"": 100}",100,True,active,0.162631,1.920024,0.145331,35.0,0.0,1.53,0.99,1.6,5.0,0.162631,0.488,1.37,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.06683,1.96945,0.06683,40.0,105.0,1.81,1.0,1.4,15.0,0.06683,1.633,1.32,
exp17b_perturb,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__spaceperturbm0.1__spaceperturbminm0.0__timeperturbminms0__timeperturbms25,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--time-perturb-min-ms"": 0, ""--time-perturb-ms"": 25}",1,True,active,0.046868,1.978882,0.02701,45.0,105.0,1.81,0.99,1.8,25.0,0.046868,1.76,1.34,
exp17b_perturb,ablationnone__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__spaceperturbm0.2__spaceperturbminm0.0__timeperturbminms0__timeperturbms100,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--space-perturb-m"": 0.2, ""--space-perturb-min-m"": 0.0, ""--time-perturb-min-ms"": 0, ""--time-perturb-ms"": 100}",100,True,active,0.162631,1.920024,0.145331,35.0,0.0,1.53,0.99,1.6,5.0,0.162631,0.488,1.34,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",15,True,active,0.108297,1.950195,0.10011,0.0,0.0,1.77,0.98,2.1,15.0,0.108297,1.775,1.5,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",14,True,active,0.085757,1.98576,0.085757,40.0,105.0,1.79,1.0,1.4,15.0,0.085757,1.757,1.52,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",12,True,active,0.07331,1.951965,0.07331,40.0,105.0,1.8,0.99,1.8,20.0,0.07331,1.781,1.57,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",6,True,active,0.10185,1.949561,0.095652,35.0,105.0,1.8,0.99,1.6,20.0,0.10185,1.742,1.58,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",17,True,active,0.084584,1.933898,0.081287,45.0,105.0,1.4,1.0,1.3,5.0,0.084584,0.55,1.58,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",13,True,active,0.14318,1.916528,0.140801,35.0,75.0,1.14,1.0,1.4,5.0,0.14318,0.746,1.59,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",2,True,active,0.101154,1.951322,0.090046,35.0,70.0,1.79,1.0,1.8,20.0,0.101154,1.781,1.61,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",10,True,active,0.099045,1.962541,0.096678,40.0,105.0,1.8,1.0,1.6,15.0,0.099045,1.679,1.63,
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.24,no_result
exp17b_perturb,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.29,no_result
