experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17c_obsfreq,ablationnone__ballspeed9__noplot__obsfreq10__obsnoisepos0.01__obsnoisevel0.1__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 10, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--obs-use-kf"": null, ""--serve-box"": null}",100,,,,,,,,,,,,,,0.17,no_result
exp17c_obsfreq,ablationnone__ballspeed9__noplot__obsfreq30__obsnoisepos0.01__obsnoisevel0.1__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 30, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--serve-box"": null}",1,,,,,,,,,,,,,,0.18,no_result
exp17c_obsfreq,ablationfull__ballspeed9__noplot__obsfreq200__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 200, ""--serve-box"": null}",1,,,,,,,,,,,,,,0.2,no_result
exp17c_obsfreq,ablationnone__ballspeed9__noplot__obsfreq10__obsnoisepos0.01__obsnoisevel0.1__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 10, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--obs-use-kf"": null, ""--serve-box"": null}",100,False,miss,0.014215,1.908032,7.923023,0.0,0.0,0.05,0.02,0.0,0.0,0.014215,0.0,1.19,
exp17c_obsfreq,ablationnone__ballspeed9__noplot__obsfreq30__obsnoisepos0.01__obsnoisevel0.1__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 30, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--serve-box"": null}",1,False,miss,0.172011,1.931092,5.127615,0.0,0.0,0.89,0.25,0.7,0.0,0.172011,0.0,1.22,
exp17c_obsfreq,ablationfull__ballspeed9__noplot__obsfreq200__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 200, ""--serve-box"": null}",1,True,active,0.06683,1.96945,0.06683,40.0,105.0,1.81,1.0,1.4,15.0,0.06683,1.633,1.33,
exp17c_obsfreq,ablationnone__ballspeed9__noplot__obsfreq10__obsnoisepos0.01__obsnoisevel0.1__obsusekf__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 10, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--obs-use-kf"": null, ""--serve-box"": null}",100,False,miss,0.014215,1.908032,7.923023,0.0,0.0,0.05,0.02,0.0,0.0,0.014215,0.0,1.17,
exp17c_obsfreq,ablationnone__ballspeed9__noplot__obsfreq30__obsnoisepos0.01__obsnoisevel0.1__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 30, ""--obs-noise-pos"": 0.01, ""--obs-noise-vel"": 0.1, ""--serve-box"": null}",1,False,miss,0.172011,1.931092,5.127615,0.0,0.0,0.89,0.25,0.7,0.0,0.172011,0.0,1.19,
exp17c_obsfreq,ablationfull__ballspeed9__noplot__obsfreq200__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 200, ""--serve-box"": null}",1,True,active,0.06683,1.96945,0.06683,40.0,105.0,1.81,1.0,1.4,15.0,0.06683,1.633,1.3,
exp17c_obsfreq,ablationfull__ballspeed9__noplot__obsfreq200__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 200, ""--serve-box"": null}",2,True,active,0.101154,1.951322,0.090046,35.0,70.0,1.79,1.0,1.8,20.0,0.101154,1.781,1.42,
exp17c_obsfreq,ablationfull__ballspeed9__noplot__obsfreq200__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 200, ""--serve-box"": null}",15,True,active,0.108297,1.950195,0.10011,0.0,0.0,1.77,0.98,2.1,15.0,0.108297,1.775,1.49,
exp17c_obsfreq,ablationfull__ballspeed9__noplot__obsfreq200__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 200, ""--serve-box"": null}",8,True,active,0.144057,1.957844,0.122085,35.0,105.0,1.24,1.0,1.6,0.0,0.144057,0.473,1.53,
exp17c_obsfreq,ablationfull__ballspeed9__noplot__obsfreq200__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--obs-freq"": 200, ""--serve-box"": null}",13,True,active,0.14318,1.916528,0.140801,35.0,75.0,1.14,1.0,1.4,5.0,0.14318,0.746,1.57,
