experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",2,True,active,0.091116,1.938412,0.05186,0.0,0.0,1.74,0.98,2.4,20.0,0.091116,1.68,1.28,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,False,miss,0.231874,1.810486,0.23898,0.0,0.0,1.73,1.0,1.9,0.0,0.231874,0.0,1.34,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",4,False,miss,0.363499,1.934946,0.138796,0.0,0.0,1.74,1.0,2.3,0.0,0.363499,0.0,1.51,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",5,False,miss,0.306414,2.020629,0.079512,0.0,0.0,1.22,0.99,1.5,0.0,0.306414,0.0,1.51,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",15,True,active,0.057743,1.973928,0.057743,40.0,105.0,1.74,0.99,1.4,10.0,0.057743,1.74,1.54,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",17,True,active,0.127697,1.966922,0.103939,50.0,100.0,1.77,1.0,2.1,15.0,0.127697,1.656,1.57,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",8,True,active,0.085258,1.936995,0.084245,40.0,100.0,1.78,0.99,1.7,15.0,0.085258,1.454,1.6,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",11,True,active,0.091357,1.933019,0.076241,25.0,70.0,1.78,0.95,1.9,25.0,0.091357,1.762,1.61,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",10,True,active,0.088291,1.949777,0.088291,45.0,105.0,1.21,0.99,1.5,15.0,0.088291,0.953,1.63,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.24,no_result
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.27,no_result
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",18,True,active,0.035549,1.989336,0.035549,50.0,105.0,1.76,1.0,1.7,5.0,0.035549,1.159,1.9,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",27,,,,,,,,,,,,,,0.22,no_result
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",6,True,active,0.093243,1.942388,0.093243,45.0,105.0,1.56,0.97,1.5,10.0,0.093243,0.919,2.23,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",16,True,active,0.060392,1.97647,0.031964,0.0,0.0,1.78,0.98,1.7,20.0,0.060392,1.702,2.34,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",7,True,active,0.118796,1.943146,0.092163,0.0,0.0,1.04,0.99,1.3,15.0,0.118796,1.009,2.39,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",9,True,active,0.144991,1.952221,0.1405,40.0,95.0,1.76,0.99,1.8,10.0,0.144991,1.764,2.64,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",12,True,active,0.025776,2.005649,0.025776,45.0,105.0,1.7,1.0,1.2,15.0,0.025776,1.168,2.64,
exp17d_mechanism,ablationtube_only__ballspeed7__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",13,True,active,0.09904,1.914597,0.05891,0.0,0.0,1.51,0.99,1.8,25.0,0.09904,1.458,3.13,
