experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",7,True,active,0.097377,1.929171,0.094438,50.0,105.0,1.59,1.0,1.6,25.0,0.097377,0.896,1.56,
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",13,True,active,0.122735,1.981994,0.113439,30.0,80.0,1.8,0.99,1.7,30.0,0.122735,1.726,1.58,
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",3,True,active,0.109543,1.992778,0.095492,50.0,105.0,1.81,0.99,1.9,35.0,0.109543,1.465,1.61,
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.063337,1.986146,0.060244,95.0,105.0,1.77,1.0,1.6,10.0,0.063337,1.405,1.63,
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",8,False,miss,0.358096,1.944892,0.172004,0.0,0.0,1.37,1.0,1.6,0.0,0.358096,0.0,1.63,
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",2,True,active,0.102455,1.969225,0.098729,25.0,80.0,1.8,0.99,1.9,25.0,0.102455,1.762,1.65,
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",11,True,active,0.118389,1.995488,0.110457,0.0,0.0,1.81,1.0,1.9,30.0,0.118389,1.364,1.67,
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.24,no_result
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.24,no_result
exp17e_perturb7,ablationfull__ballspeed7__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",16,True,active,0.101702,1.982196,0.073246,50.0,75.0,1.8,0.99,1.7,30.0,0.101702,1.362,1.95,
