experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",2,True,active,0.093304,1.928257,0.078251,0.0,0.0,1.7,1.0,2.3,10.0,0.093304,1.693,1.33,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.091094,1.893505,0.08134,40.0,95.0,1.78,1.0,1.8,15.0,0.091094,1.782,1.39,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",11,True,active,0.089259,1.885984,0.082303,45.0,105.0,1.67,0.97,1.6,5.0,0.089259,1.278,1.6,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",7,True,active,0.101431,1.919691,0.06644,0.0,0.0,1.75,0.98,2.0,15.0,0.101431,1.647,1.62,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",15,True,active,0.106101,1.944144,0.086935,0.0,0.0,1.77,0.97,2.1,15.0,0.106101,1.769,1.62,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",10,True,active,0.109267,1.949302,0.105107,40.0,105.0,1.4,1.0,1.4,10.0,0.109267,1.244,1.63,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",18,True,active,0.128928,1.958824,0.114294,35.0,105.0,1.78,0.98,1.9,15.0,0.128928,1.744,1.64,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",12,True,active,0.022407,1.972845,0.022407,40.0,80.0,1.78,0.97,1.5,10.0,0.022407,1.757,1.66,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",9,False,miss,0.327476,1.954936,0.147604,20.0,40.0,1.79,1.0,1.9,0.0,0.327476,0.0,1.66,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",4,True,active,0.118874,1.939295,0.099712,40.0,105.0,1.76,0.98,1.9,15.0,0.118874,1.75,1.69,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.26,no_result
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.29,no_result
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",17,True,active,0.103838,1.929115,0.099716,40.0,105.0,1.61,0.99,2.2,10.0,0.103838,1.609,2.35,
