experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",2,True,active,0.108698,1.955393,0.098992,15.0,35.0,1.7,1.0,2.1,15.0,0.108698,1.59,1.53,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",9,True,active,0.137241,1.963303,0.132474,30.0,85.0,1.78,0.99,1.8,15.0,0.137241,1.756,1.59,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",16,True,active,0.065424,1.976198,0.05881,5.0,45.0,1.63,1.0,1.6,15.0,0.065424,1.347,1.61,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",4,True,active,0.124027,1.955262,0.109907,40.0,105.0,1.8,0.99,1.7,20.0,0.124027,1.699,1.64,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",5,True,active,0.102937,1.950804,0.069905,0.0,0.0,1.79,0.99,1.5,25.0,0.102937,1.599,1.65,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",8,True,active,0.144055,1.957845,0.122086,35.0,105.0,1.24,1.0,1.6,0.0,0.144055,0.473,1.67,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",1,True,active,0.054097,1.980096,0.054097,35.0,105.0,1.81,1.0,1.6,20.0,0.054097,1.62,1.68,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",7,True,active,0.102696,1.949466,0.098637,35.0,105.0,1.78,0.99,1.7,20.0,0.102696,1.761,1.88,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",21,,,,,,,,,,,,,,0.24,no_result
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",20,,,,,,,,,,,,,,0.25,no_result
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",13,True,active,0.14318,1.916528,0.140801,35.0,75.0,1.14,1.0,1.4,5.0,0.14318,0.746,2.3,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",12,True,active,0.073306,1.951961,0.073306,40.0,105.0,1.8,0.99,1.8,20.0,0.073306,1.781,2.51,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",15,True,active,0.108297,1.950195,0.10011,0.0,0.0,1.77,0.98,2.1,15.0,0.108297,1.775,2.89,
exp18_sensitivity,ablationfull__ballspeed9__noplot__servebox__softminbeta1.0,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null, ""--softmin-beta"": 1.0}",6,True,active,0.10185,1.949561,0.095652,35.0,105.0,1.8,0.99,1.6,20.0,0.10185,1.742,2.96,
