file,tier,seed,hit_step,max_tcp_all,max_tcp_out_window,max_tcp_in_window
full_seed001,full,1,225,0.9895968372910499,0.9772015252829155,0.9895968372910499
full_seed002,full,2,-1,0.9897672204317377,nan,nan
full_seed003,full,3,225,0.993715104295311,0.9871868998700307,0.9929565494975717
full_seed004,full,4,-1,0.9933962619652774,nan,nan
full_seed005,full,5,-1,0.9856187654433259,nan,nan
full_seed006,full,6,226,0.9973688865130624,0.9973688865130624,0.977797074825922
full_seed007,full,7,221,0.9852757479761989,0.9771862549276358,0.9852757479761989
full_seed008,full,8,223,0.9921317459564732,0.9921317459564732,0.9777863295201314
full_seed009,full,9,227,0.9924080531647776,0.9924080531647776,0.9644012632939212
full_seed010,full,10,221,0.9756620293709914,0.9592837672524613,0.9756620293709914
full_seed011,full,11,-1,0.9954460711044839,nan,nan
full_seed012,full,12,222,0.9864981156517088,0.9781716123588672,0.9864981156517088
full_seed013,full,13,-1,0.9866814876714156,nan,nan
full_seed014,full,14,-1,0.995104885672475,nan,nan
full_seed015,full,15,224,0.992605565372949,0.992605565372949,0.977922373029163
full_seed016,full,16,232,0.9917687231932251,0.9917687231932251,0.9783876870884534
full_seed017,full,17,-1,0.9948361547380756,nan,nan
full_seed018,full,18,225,0.9946446482417496,0.9946446482417496,0.9809518670999098
full_seed019,full,19,221,0.9918705397965004,0.9918705397965004,0.9804875322528545
full_seed022,full,22,243,0.9796258984313593,0.9419807560944571,0.9796258984313593
full_seed023,full,23,227,0.9888929115840942,0.9888929115840942,0.9817585302251248
full_seed024,full,24,222,0.9915444458034766,0.9909939216681911,0.9915444458034766
full_seed025,full,25,-1,0.9891140608567028,nan,nan
full_seed026,full,26,224,0.9873713476852102,0.9736716926576323,0.9873713476852102
full_seed028,full,28,-1,0.9963959024189657,nan,nan
full_seed029,full,29,-1,0.19440947006602557,nan,nan
full_seed030,full,30,-1,0.9881208664090286,nan,nan
full_seed031,full,31,-1,0.39259359940418576,nan,nan
full_seed032,full,32,225,0.9960136394716879,0.9907068150405066,0.9960136394716879
full_seed033,full,33,-1,0.2952484679264629,nan,nan
full_seed034,full,34,-1,0.9799978681979297,nan,nan
full_seed035,full,35,-1,0.978169590208495,nan,nan
full_seed036,full,36,222,0.9880972693565023,0.9880972693565023,0.9822312995032196
full_seed037,full,37,223,0.9994959227156581,0.9456352604422419,0.9994959227156581
full_seed038,full,38,222,0.9942461476014627,0.9942461476014627,0.9801833578811007
full_seed039,full,39,-1,0.9918211853463541,nan,nan
full_seed040,full,40,225,0.9916487896810452,0.9916487896810452,0.989256246480559
full_seed041,full,41,-1,0.2803397835035341,nan,nan
full_seed042,full,42,-1,0.9808951867305331,nan,nan
full_seed043,full,43,-1,0.993616909121224,nan,nan
full_seed044,full,44,-1,0.9888267813802195,nan,nan
full_seed045,full,45,-1,0.9892048239360174,nan,nan
full_seed046,full,46,219,0.9943406692623786,0.9943406692623786,0.9922193276710173
full_seed047,full,47,223,0.9930496602176925,0.9564972019464882,0.9930496602176925
full_seed048,full,48,-1,0.991497933357518,nan,nan
full_seed049,full,49,-1,0.9992685200907823,nan,nan
full_seed050,full,50,-1,0.9771718905578434,nan,nan
none_seed001,none,1,224,0.9798972938884389,0.975703783716089,0.9798972938884389
none_seed002,none,2,220,0.9897672204317377,0.9897672204317377,0.9527976614884347
none_seed003,none,3,227,0.9881728623713766,0.9553283540446098,0.9881728623713766
none_seed004,none,4,-1,0.9933962619652774,nan,nan
none_seed005,none,5,-1,0.9827052854090527,nan,nan
none_seed006,none,6,-1,0.9973688865130624,nan,nan
none_seed007,none,7,222,0.9891712079146735,0.864696984303226,0.9891712079146735
none_seed008,none,8,223,0.9921317459564732,0.9921317459564732,0.9861993801413723
none_seed009,none,9,227,0.9935839700747617,0.9935839700747617,0.950100383252297
none_seed010,none,10,221,0.9678549402698655,0.9510655546001656,0.9678549402698655
none_seed011,none,11,-1,0.9793186162667519,nan,nan
none_seed012,none,12,225,0.9800893091608116,0.9177811012423552,0.9800893091608116
none_seed013,none,13,-1,0.9372270023257795,nan,nan
none_seed014,none,14,-1,0.9914649481663611,nan,nan
