experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",4,False,miss,0.247969,1.84064,0.27982,0.0,0.0,0.66,0.16,0.4,0.0,0.247969,0.0,1.21,967.7,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",6,False,miss,0.225045,1.894199,0.258297,0.0,0.0,0.87,0.2,0.5,0.0,0.225045,0.0,1.23,969.0,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",2,False,miss,0.240997,1.847383,0.288129,0.0,0.0,0.9,0.21,0.5,0.0,0.240997,0.0,1.26,974.0,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",8,False,miss,0.260867,1.854174,0.321938,0.0,0.0,1.12,0.26,0.7,0.0,0.260867,0.0,1.26,986.6,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",1,False,miss,0.205567,1.837469,0.203889,0.0,0.0,0.6,0.17,0.5,0.0,0.205567,0.0,1.28,983.6,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",7,False,miss,0.221544,1.834076,0.235551,0.0,0.0,0.42,0.14,0.3,0.0,0.221544,0.0,1.27,979.1,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",5,False,miss,0.181328,1.843834,0.172794,0.0,0.0,0.2,0.15,0.1,0.0,0.181328,0.0,1.28,967.1,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",3,False,miss,0.243332,1.820886,0.268423,0.0,0.0,0.34,0.15,0.2,0.0,0.243332,0.0,1.32,1033.4,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",9,False,miss,0.267797,1.860715,0.304069,0.0,0.0,1.02,0.23,0.7,0.0,0.267797,0.0,1.22,987.4,-1.0,-99.0,
exp23_nofreeze,ablationfull__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",12,False,miss,0.221899,1.843309,0.238103,0.0,0.0,0.45,0.15,0.3,0.0,0.221899,0.0,1.27,995.0,-1.0,-99.0,
