experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",9,False,miss,1.414735,1.95713,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.414735,0.0,0.45,66.3,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",6,False,miss,1.394286,1.973172,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.394286,0.0,0.47,80.5,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",14,False,miss,1.365191,1.965228,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.365191,0.0,0.47,57.7,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",15,False,miss,1.377178,1.996227,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.377178,0.0,0.47,76.2,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",2,False,miss,1.308126,1.998223,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.308126,0.0,0.49,69.9,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",21,,,,,,,,,,,,,,0.23,,,,no_result
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",20,,,,,,,,,,,,,,0.28,,,,no_result
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",17,False,miss,1.425668,1.965453,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.425668,0.0,0.37,33.2,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",23,False,miss,1.413576,1.978227,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.413576,0.0,0.28,36.3,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",12,True,active,0.108809,1.962745,0.106718,35.0,105.0,1.79,1.0,1.8,25.0,0.108809,1.722,1.58,1050.5,7.528,-1.31,
