experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",8,False,miss,0.292567,1.923551,0.158023,25.0,10.0,1.45,0.99,1.7,0.0,0.292567,0.0,1.59,1086.9,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",2,True,active,0.074641,1.915479,0.074641,50.0,105.0,1.51,0.99,1.2,0.0,0.074641,0.514,1.75,1051.7,4.933,-3.878,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",4,True,active,0.128165,1.941534,0.121129,40.0,105.0,1.66,1.0,1.5,15.0,0.128165,1.529,1.77,1076.8,6.19,-3.604,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",5,True,active,0.066178,1.991819,0.032917,10.0,45.0,1.78,1.0,1.5,20.0,0.066178,1.589,1.83,1043.7,5.876,-0.641,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",11,True,active,0.108281,1.890816,0.018071,15.0,30.0,1.41,1.0,1.4,10.0,0.108281,1.415,1.87,1103.4,5.386,1.877,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",1,False,miss,0.192831,1.835744,0.10162,0.0,0.0,1.79,1.0,1.4,0.0,0.192831,0.0,1.95,1059.1,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",12,True,active,0.035926,2.059254,0.035926,0.0,0.0,1.8,1.0,2.1,25.0,0.035926,1.684,2.0,1066.4,6.836,-0.041,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.22,,,,no_result
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.25,,,,no_result
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",7,True,active,0.072389,1.944104,0.032973,0.0,0.0,1.75,0.99,1.4,25.0,0.072389,1.45,2.48,1653.0,5.672,1.579,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",16,False,miss,0.26809,1.945294,0.115103,0.0,0.0,1.41,1.0,1.3,0.0,0.26809,0.0,2.64,1754.0,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",3,False,miss,0.315133,1.925673,0.110853,40.0,75.0,1.78,0.99,1.7,0.0,0.315133,0.0,2.78,1963.1,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",27,,,,,,,,,,,,,,0.18,,,,no_result
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",17,True,active,0.122744,1.940754,0.075763,60.0,105.0,1.61,0.99,1.5,10.0,0.122744,0.841,1.63,1149.8,6.072,-2.359,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",9,True,active,0.112248,1.935123,0.097625,50.0,105.0,1.45,0.99,1.7,15.0,0.112248,0.852,3.61,2387.4,5.401,-1.072,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",22,False,miss,0.566423,1.980185,0.192311,0.0,0.0,1.81,1.0,1.8,0.0,0.566423,0.0,1.7,1098.4,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",15,True,active,0.059874,1.981116,0.059874,40.0,105.0,1.79,0.98,1.5,10.0,0.059874,1.374,3.67,2456.9,6.518,-4.101,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",13,True,active,0.093657,1.993868,0.032217,0.0,0.0,1.8,1.0,2.1,25.0,0.093657,1.589,3.74,2457.4,6.91,0.447,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",14,True,active,0.04449,1.905202,0.04449,55.0,105.0,1.79,1.0,2.1,10.0,0.04449,0.711,3.79,2332.1,4.726,-4.356,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",25,True,active,0.078446,1.955618,0.066064,45.0,105.0,1.8,0.99,1.6,20.0,0.078446,1.755,1.71,1069.0,5.693,-1.691,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",6,False,miss,0.2715,1.937234,0.139759,35.0,105.0,1.38,0.95,1.1,0.0,0.2715,0.0,3.84,2442.7,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",24,False,miss,0.359205,1.948468,0.12254,0.0,0.0,1.79,0.98,2.2,0.0,0.359205,0.0,1.76,1191.7,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",19,True,active,0.060468,1.96536,0.060468,0.0,0.0,1.37,0.98,1.3,20.0,0.060468,1.318,2.15,1540.9,5.629,2.866,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",10,True,active,0.074212,1.995887,0.054444,50.0,105.0,1.67,0.99,1.7,15.0,0.074212,1.495,4.04,2442.2,5.97,-0.169,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",18,True,passive,0.070463,1.939845,0.066213,55.0,105.0,1.68,0.99,1.8,5.0,0.070463,0.268,2.39,1675.9,5.581,-4.718,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",26,True,active,0.109647,1.856638,0.025151,20.0,35.0,1.78,1.0,1.3,15.0,0.109647,1.735,1.98,1196.5,5.274,2.697,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",29,False,miss,0.271014,1.923766,0.150427,0.0,0.0,1.58,0.98,1.3,0.0,0.271014,0.0,2.05,1403.7,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",23,True,active,0.116166,1.98018,0.10612,45.0,105.0,1.8,1.0,1.9,25.0,0.116166,1.341,3.09,1869.5,6.228,-0.822,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",31,False,miss,0.322196,1.931486,0.14509,30.0,60.0,1.51,1.0,1.4,0.0,0.322196,0.0,1.89,1190.3,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",39,False,miss,0.43079,2.026904,0.125282,0.0,0.0,1.8,0.99,1.5,0.0,0.43079,0.0,1.71,1111.8,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",36,True,active,0.121047,1.965895,0.107839,45.0,105.0,1.8,1.0,1.7,5.0,0.121047,1.208,1.84,1141.8,6.228,-1.59,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",40,True,active,0.073396,1.999405,0.05126,55.0,105.0,1.78,0.9,1.5,20.0,0.073396,0.731,2.11,1513.2,6.464,-1.8,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",28,True,active,0.043588,1.954847,0.043588,45.0,105.0,1.76,0.99,1.4,10.0,0.043588,1.639,3.38,2320.9,6.512,-4.618,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",34,True,active,0.054157,1.97646,0.054157,45.0,105.0,1.74,0.97,1.6,20.0,0.054157,1.739,2.47,1287.1,5.993,-2.123,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",42,False,miss,0.364454,1.967313,0.144435,0.0,0.0,1.39,0.99,2.0,0.0,0.364454,0.0,1.98,1280.1,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",33,False,miss,0.305768,1.952887,0.145942,30.0,65.0,1.6,1.0,1.5,0.0,0.305768,0.0,2.8,1562.1,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",43,False,miss,0.334973,1.928302,0.107284,35.0,95.0,1.75,1.0,1.5,0.0,0.334973,0.0,1.84,1125.2,-1.0,-99.0,
