experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",13,True,active,0.12372,1.955855,0.094848,55.0,105.0,1.01,0.98,1.1,20.0,0.12372,0.912,1.51,1022.4,6.094,-1.992,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",3,False,miss,0.40442,1.981087,0.182581,5.0,0.0,1.01,0.99,1.5,0.0,0.40442,0.0,1.54,1044.9,-1.0,-99.0,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",2,True,active,0.127023,1.951134,0.102028,50.0,105.0,1.0,0.96,1.1,15.0,0.127023,0.964,1.56,999.8,5.694,-0.678,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",10,True,active,0.12141,1.980217,0.12141,40.0,105.0,1.0,1.0,1.3,15.0,0.12141,0.782,1.56,1011.8,5.571,-4.089,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",14,True,active,0.095104,1.983896,0.095104,45.0,105.0,1.0,1.0,1.3,10.0,0.095104,0.589,1.56,1061.2,6.256,-6.23,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",16,False,miss,0.331758,1.913661,0.139667,30.0,75.0,1.0,0.99,1.4,0.0,0.331758,0.0,1.58,1065.5,-1.0,-99.0,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",1,True,passive,0.101141,1.926835,0.101141,0.0,10.0,1.0,1.0,1.3,0.0,0.101141,0.218,1.6,1011.9,6.112,1.103,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",12,True,active,0.120719,1.951858,0.109101,55.0,105.0,1.01,0.98,1.5,20.0,0.120719,0.961,1.7,1027.8,4.91,-3.131,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.23,,,,no_result
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.23,,,,no_result
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",11,False,miss,0.348973,1.961739,0.160936,0.0,0.0,1.01,1.0,1.5,0.0,0.348973,0.0,2.14,1551.6,-1.0,-99.0,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",27,,,,,,,,,,,,,,0.17,,,,no_result
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",5,False,miss,0.331872,1.942923,0.13872,0.0,0.0,1.0,1.0,1.3,0.0,0.331872,0.0,2.42,1854.9,-1.0,-99.0,
exp26_tcp_grid,ablationfull__ballspeed7__maxtcp1.0__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 7, ""--max-tcp"": 1.0, ""--no-plot"": null, ""--serve-box"": null}",17,False,miss,0.340595,1.975723,0.18234,5.0,0.0,1.01,0.93,1.1,0.0,0.340595,0.0,1.42,1047.5,-1.0,-99.0,
