experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",9,True,active,0.137241,1.963303,0.132474,30.0,85.0,1.78,0.99,1.8,15.0,0.137241,1.756,1.54,1102.1,7.964,-4.025,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",15,True,active,0.108297,1.950195,0.10011,0.0,0.0,1.77,0.98,2.1,15.0,0.108297,1.775,1.58,1036.9,7.829,1.775,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",2,True,active,0.101154,1.951322,0.090046,35.0,70.0,1.79,1.0,1.8,20.0,0.101154,1.781,1.6,1019.8,6.85,1.463,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",11,True,active,0.106181,1.903871,0.101442,40.0,105.0,1.61,0.99,1.4,10.0,0.106181,0.726,1.6,1023.6,7.399,-2.452,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",8,True,active,0.144057,1.957844,0.122085,35.0,105.0,1.24,1.0,1.6,0.0,0.144057,0.473,1.62,1030.2,7.43,-7.4,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",12,True,active,0.07331,1.951965,0.07331,40.0,105.0,1.8,0.99,1.8,20.0,0.07331,1.781,1.63,1061.7,6.874,-3.78,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",1,True,active,0.06683,1.96945,0.06683,40.0,105.0,1.81,1.0,1.4,15.0,0.06683,1.633,1.65,1041.0,8.568,-5.489,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",16,True,active,0.065424,1.976198,0.058809,5.0,45.0,1.63,1.0,1.6,15.0,0.065424,1.347,1.68,1138.2,8.117,-0.269,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",20,,,,,,,,,,,,,,0.26,,,,no_result
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",21,,,,,,,,,,,,,,0.25,,,,no_result
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",7,True,active,0.102696,1.949466,0.098637,35.0,105.0,1.78,0.99,1.7,20.0,0.102696,1.761,2.28,1766.0,7.491,-2.335,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",6,True,active,0.10185,1.949561,0.095652,35.0,105.0,1.8,0.99,1.6,20.0,0.10185,1.742,2.3,1826.0,6.169,-1.684,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",17,True,active,0.084584,1.933898,0.081287,45.0,105.0,1.4,1.0,1.3,5.0,0.084584,0.55,1.43,1053.1,7.026,-6.564,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",4,True,active,0.124027,1.955262,0.109907,40.0,105.0,1.8,0.99,1.7,20.0,0.124027,1.699,2.99,2276.4,7.35,-3.77,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",18,True,active,0.114785,1.992625,0.114785,30.0,105.0,1.81,0.99,1.9,20.0,0.114785,1.653,1.42,1028.5,7.534,-1.991,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",23,True,active,0.105769,1.94775,0.105769,35.0,105.0,1.78,0.99,1.9,15.0,0.105769,1.696,1.43,1005.1,6.884,-3.991,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",14,True,active,0.085757,1.98576,0.085757,40.0,105.0,1.79,1.0,1.4,15.0,0.085757,1.757,3.11,2331.5,8.553,-7.103,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",22,True,active,0.103366,1.918018,0.064212,0.0,0.0,1.8,1.0,1.8,25.0,0.103366,1.782,1.49,1026.1,8.183,2.685,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",5,True,active,0.102937,1.950804,0.069905,0.0,0.0,1.79,0.99,1.5,25.0,0.102937,1.599,3.13,2342.5,8.277,0.45,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",10,True,active,0.099045,1.962541,0.096678,40.0,105.0,1.8,1.0,1.6,15.0,0.099045,1.679,3.15,2381.8,8.154,-6.093,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",3,True,active,0.136368,1.915636,0.123043,35.0,100.0,1.75,1.0,1.7,25.0,0.136368,1.543,3.2,2304.0,7.642,-4.993,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",24,False,miss,0.31935,1.934235,0.130031,0.0,15.0,1.76,1.0,1.7,0.0,0.31935,0.0,1.61,1193.0,-1.0,-99.0,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",13,True,active,0.14318,1.916528,0.140801,35.0,75.0,1.14,1.0,1.4,5.0,0.14318,0.746,3.32,2340.1,8.034,-4.182,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",25,False,miss,0.310899,1.935819,0.218241,0.0,0.0,1.1,1.0,1.4,0.0,0.310899,0.0,1.6,1066.4,-1.0,-99.0,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",26,True,active,0.093695,1.948249,0.093695,40.0,105.0,1.8,1.0,1.6,20.0,0.093695,1.532,1.69,1157.3,7.875,-4.333,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",19,True,active,0.113456,1.937541,0.099306,0.0,0.0,1.78,0.99,2.0,25.0,0.113456,1.64,2.1,1469.8,7.622,1.339,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",27,True,active,0.034755,1.914821,0.034755,40.0,105.0,1.48,1.0,1.7,10.0,0.034755,0.754,1.47,1066.5,8.514,-7.145,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",28,True,active,0.101675,1.934764,0.08609,0.0,0.0,1.79,0.98,1.6,20.0,0.101675,1.745,1.77,1414.8,8.359,2.273,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",31,False,miss,0.355262,1.968782,0.153561,25.0,0.0,1.5,0.99,1.4,0.0,0.355262,0.0,1.43,1053.8,-1.0,-99.0,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",36,True,active,0.115858,1.931859,0.113812,35.0,105.0,1.79,1.0,1.8,10.0,0.115858,1.403,1.45,1012.3,7.043,-5.13,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",34,True,active,0.09099,1.983368,0.09099,30.0,105.0,1.81,1.0,1.7,20.0,0.09099,1.661,1.7,1200.8,7.812,-2.546,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",39,True,active,0.091562,1.913835,0.091562,40.0,105.0,1.8,0.99,2.0,10.0,0.091562,1.773,1.51,1047.6,7.635,-2.924,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",37,True,active,0.139208,1.965344,0.125336,35.0,65.0,1.65,1.0,1.7,20.0,0.139208,1.298,1.76,1257.8,8.118,-3.752,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",41,True,active,0.056183,1.997129,0.034753,40.0,105.0,1.8,1.0,2.1,5.0,0.056183,1.348,1.55,1087.9,8.715,-3.744,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",43,True,active,0.115634,1.944807,0.113098,35.0,105.0,1.8,1.0,1.8,25.0,0.115634,1.395,1.4,997.8,7.153,-5.033,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",42,True,active,0.094913,1.966658,0.094913,35.0,105.0,1.81,1.0,1.7,20.0,0.094913,1.537,1.67,1169.4,7.231,-2.127,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",44,True,active,0.129569,1.964779,0.121277,40.0,105.0,1.83,1.0,2.2,20.0,0.129569,1.757,1.42,1044.9,7.652,-6.637,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",40,True,active,0.073123,1.977508,0.073123,40.0,105.0,1.81,0.98,1.7,15.0,0.073123,1.732,2.12,1662.1,7.135,-2.207,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",32,True,active,0.102337,1.943804,0.089879,45.0,105.0,1.74,1.0,1.7,15.0,0.102337,1.74,2.51,1823.6,7.619,-4.877,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",33,True,active,0.110297,1.972966,0.110297,35.0,105.0,1.79,0.98,2.0,15.0,0.110297,1.783,2.52,1845.4,7.375,-2.333,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",45,True,active,0.109191,1.972798,0.108133,35.0,105.0,1.81,1.0,1.8,20.0,0.109191,1.799,1.49,1082.8,8.077,-3.411,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",30,True,active,0.071285,1.94592,0.051287,0.0,0.0,1.79,0.98,1.7,20.0,0.071285,1.784,2.94,2219.5,7.353,1.699,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",29,True,active,0.106476,1.908638,0.103461,35.0,105.0,0.99,1.0,1.2,5.0,0.106476,0.363,3.09,2294.1,7.521,-7.263,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",35,True,active,0.113404,1.959309,0.104396,40.0,105.0,1.79,0.99,1.7,20.0,0.113404,1.656,3.04,2243.3,7.61,-2.695,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",38,True,active,0.089332,1.985166,0.089332,30.0,105.0,1.81,1.0,1.7,20.0,0.089332,1.451,2.98,2258.1,7.253,-3.641,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",48,True,active,0.105054,1.942428,0.099425,35.0,105.0,1.79,1.0,1.7,20.0,0.105054,1.749,1.5,1079.7,8.389,-6.493,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",49,True,active,0.09145,1.949414,0.084788,45.0,105.0,1.78,0.99,1.9,20.0,0.09145,1.743,1.54,1130.1,7.497,-5.161,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",46,True,active,0.108514,1.968238,0.104572,35.0,105.0,1.34,0.99,1.4,10.0,0.108514,1.098,1.96,1574.4,7.949,-6.982,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",51,True,active,0.11297,1.953827,0.099565,40.0,105.0,1.68,1.0,1.8,15.0,0.11297,1.562,1.5,1123.7,7.141,-0.963,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",47,True,active,0.064985,1.887022,0.064985,50.0,105.0,1.52,0.98,1.6,10.0,0.064985,1.116,1.92,1264.7,7.258,-5.225,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",55,True,active,0.088314,1.991799,0.08214,40.0,105.0,1.8,0.96,1.9,20.0,0.088314,1.797,1.54,1084.6,7.749,0.171,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",56,False,miss,0.368244,1.958887,0.147452,0.0,0.0,1.79,1.0,2.0,0.0,0.368244,0.0,1.51,1067.3,-1.0,-99.0,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",52,True,active,0.083163,1.959336,0.078353,35.0,105.0,1.8,0.99,1.5,20.0,0.083163,1.744,2.04,1426.2,7.273,-1.908,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",50,True,active,0.112881,1.922109,0.10606,30.0,85.0,1.81,1.0,2.0,20.0,0.112881,1.724,2.31,1311.6,8.112,-1.518,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",57,True,active,0.097783,1.972986,0.092844,0.0,0.0,1.8,0.93,2.0,20.0,0.097783,1.789,1.64,1288.2,7.453,1.167,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",60,True,active,0.127876,1.958514,0.126692,35.0,105.0,1.8,1.0,1.9,20.0,0.127876,1.571,1.44,1001.1,7.727,-3.294,
exp27_ball_quality,ablationfull__ballspeed9__noplot__servebox,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",58,True,active,0.077257,1.896827,0.07613,45.0,105.0,1.4,1.0,1.8,15.0,0.077257,1.252,1.72,1251.9,6.218,-2.787,
